n;swaps;comparisons
76900;1210222;1152337
77000;1212013;1153956
77100;1213781;1155609
77200;1215522;1157289
77300;1217346;1158933
77400;1219070;1160587
77500;1220868;1162197
77600;1222614;1163876
77700;1224389;1165543
77800;1226131;1167166
77900;1227892;1168812
78000;1229701;1170442
78100;1231417;1172101
78200;1233238;1173759
78300;1234962;1175410
78400;1236717;1177050
78500;1238518;1178721
78600;1240291;1180380
78700;1242001;1181990
78800;1243840;1183688
78900;1245532;1185321
79000;1247342;1186965
79100;1249085;1188622
79200;1250858;1190303
79300;1252574;1191928
79400;1254358;1193558
79500;1256109;1195186
79600;1257876;1196863
79700;1259603;1198486
79800;1261379;1200143
79900;1263119;1201777
80000;1264933;1203466
80100;1266614;1205095
80200;1268402;1206743
80300;1270117;1208423
80400;1271880;1210036
80500;1273682;1211694
80600;1275420;1213318
80700;1277159;1214967
80800;1278964;1216670
80900;1280661;1218272
81000;1282397;1219939
81100;1284187;1221617
81200;1285929;1223226
81300;1287688;1224906
81400;1289465;1226547
81500;1291170;1228179
81600;1292959;1229825
81700;1294698;1231467
81800;1296437;1233114
81900;1298186;1234788
82000;1299942;1236472
82100;1301707;1238085
82200;1303447;1239773
82300;1305248;1241423
82400;1306999;1243078
82500;1308817;1244761
82600;1310564;1246391
82700;1312333;1248077
82800;1314058;1249725
82900;1315859;1251388
83000;1317602;1253021
83100;1319393;1254694
83200;1321141;1256376
83300;1322912;1258031
83400;1324646;1259676
83500;1326429;1261329
83600;1328215;1263025
83700;1329958;1264682
83800;1331685;1266320
83900;1333468;1267994
84000;1335226;1269637
84100;1337003;1271307
84200;1338757;1272985
84300;1340485;1274617
84400;1342242;1276308
84500;1344051;1277981
84600;1345780;1279579
84700;1347492;1281238
84800;1349290;1282931
84900;1351027;1284591
85000;1352835;1286246
85100;1354534;1287905
85200;1356316;1289579
85300;1358080;1291249
85400;1359883;1292864
85500;1361617;1294588
85600;1363357;1296185
85700;1365094;1297868
85800;1366839;1299522
85900;1368648;1301208
86000;1370325;1302847
86100;1372112;1304524
86200;1373898;1306173
86300;1375624;1307800
86400;1377360;1309469
86500;1379110;1311148
86600;1380851;1312811
86700;1382616;1314472
86800;1384373;1316120
86900;1386076;1317774
87000;1387868;1319472
87100;1389640;1321152
87200;1391370;1322775
87300;1393113;1324452
87400;1394887;1326099
87500;1396627;1327784
87600;1398347;1329423
87700;1400104;1331061
87800;1401844;1332736
87900;1403584;1334418
88000;1405331;1336112
88100;1407100;1337727
88200;1408819;1339399
88300;1410567;1341067
88400;1412294;1342667
88500;1414033;1344373
88600;1415805;1346038
88700;1417507;1347694
88800;1419290;1349353
88900;1421011;1351037
89000;1422781;1352696
89100;1424460;1354338
89200;1426251;1356021
89300;1427966;1357681
89400;1429723;1359338
89500;1431440;1360992
89600;1433194;1362645
89700;1434954;1364339
89800;1436656;1365960
89900;1438410;1367645
90000;1440100;1369283
90100;1441878;1370976
90200;1443605;1372638
90300;1445353;1374282
90400;1447110;1375964
90500;1448855;1377585
90600;1450619;1379299
90700;1452344;1380940
90800;1454085;1382606
90900;1455770;1384267
91000;1457556;1385950
91100;1459243;1387594
91200;1461015;1389273
91300;1462745;1390958
91400;1464462;1392608
91500;1466219;1394245
91600;1467955;1395913
91700;1469672;1397616
91800;1471456;1399267
91900;1473189;1400926
92000;1474914;1402609
92100;1476612;1404256
92200;1478388;1405940
92300;1480136;1407587
92400;1481828;1409229
92500;1483541;1410914
92600;1485318;1412563
92700;1487048;1414278
92800;1488789;1415921
92900;1490512;1417567
93000;1492229;1419237
93100;1493943;1420895
93200;1495690;1422596
93300;1497475;1424242
93400;1499135;1425915
93500;1500889;1427587
93600;1502556;1429229
93700;1504327;1430920
93800;1506080;1432562
93900;1507771;1434215
94000;1509525;1435867
94100;1511238;1437537
94200;1512951;1439218
94300;1514675;1440919
94400;1516412;1442513
94500;1518136;1444217
94600;1519888;1445932
94700;1521603;1447570
94800;1523315;1449234
94900;1525080;1450862
95000;1526787;1452534
95100;1528487;1454219
95200;1530182;1455860
95300;1531944;1457551
95400;1533680;1459187
95500;1535405;1460875
95600;1537123;1462550
95700;1538840;1464185
95800;1540532;1465876
95900;1542244;1467520
96000;1543989;1469216
96100;1545666;1470872
96200;1547441;1472552
96300;1549120;1474194
96400;1550847;1475854
96500;1552586;1477526
96600;1554315;1479225
96700;1556009;1480840
96800;1557723;1482556
96900;1559469;1484194
97000;1561174;1485884
97100;1562917;1487536
97200;1564606;1489184
97300;1566326;1490849
97400;1568063;1492554
97500;1569781;1494215
97600;1571446;1495855
97700;1573150;1497532
97800;1574876;1499184
97900;1576574;1500861
98000;1578350;1502494
98100;1580048;1504175
98200;1581793;1505893
98300;1583420;1507522
98400;1585239;1509259
98500;1586949;1510905
98600;1588680;1512557
98700;1590455;1514255
98800;1592224;1515962
98900;1593986;1517641
99000;1595732;1519306
99100;1597491;1521016
99200;1599257;1522684
99300;1601018;1524381
99400;1602748;1526062
99500;1604471;1527714
99600;1606278;1529444
99700;1607958;1531143
99800;1609732;1532816
99900;1611457;1534474
100000;1613214;1536160
