n;swaps;comparisons
65900;274172;984206
66000;271692;988973
66100;279437;991801
66200;277489;988033
66300;275648;990411
66400;273848;990409
66500;277435;990072
66600;275972;988712
66700;276225;995669
66800;276083;1000118
66900;278522;996802
67000;280278;993914
67100;278012;1006182
67200;278131;1004372
67300;282246;1003743
67400;278354;1004822
67500;277704;1013726
67600;280620;1005557
67700;280532;1011295
67800;281130;1020424
67900;278643;1016991
68000;281093;1019947
68100;283649;1015241
68200;284690;1019496
68300;283466;1027331
68400;286632;1016266
68500;283429;1024782
68600;284507;1025359
68700;284165;1030988
68800;285523;1025198
68900;284087;1038341
69000;284008;1027447
69100;286792;1038872
69200;288209;1033764
69300;287576;1036913
69400;291925;1036492
69500;290756;1045680
69600;286140;1036692
69700;289254;1038848
69800;288103;1045035
69900;286782;1047472
70000;289583;1038202
70100;290697;1051111
70200;292128;1054840
70300;292158;1054725
70400;287177;1048143
70500;292423;1051636
70600;296726;1053123
70700;293736;1053890
70800;293745;1062469
70900;296855;1057474
71000;295177;1059948
71100;295213;1060437
71200;291069;1071044
71300;298574;1071333
71400;300681;1065220
71500;298930;1069664
71600;295328;1071934
71700;302702;1063967
71800;301382;1076405
71900;294939;1073369
72000;298661;1078605
72100;297595;1079204
72200;301958;1082364
72300;299374;1071918
72400;298127;1079669
72500;300561;1083709
72600;297632;1086625
72700;301992;1086218
72800;303889;1086978
72900;304831;1084948
73000;305457;1094128
73100;303940;1093248
73200;302774;1095575
73300;305706;1097181
73400;306107;1100091
73500;303667;1097430
73600;307949;1099471
73700;307451;1095888
73800;306945;1104835
73900;308017;1102372
74000;308545;1105436
74100;306530;1111936
74200;306463;1110801
74300;305966;1108963
74400;313695;1108734
74500;307248;1119277
74600;310785;1116943
74700;310416;1116609
74800;314056;1123140
74900;311918;1120616
75000;311034;1127003
75100;309519;1127751
75200;313953;1123727
75300;308505;1129964
75400;317289;1129072
75500;317156;1127727
75600;313007;1132963
75700;312827;1132817
75800;313527;1128682
75900;316129;1134709
76000;320401;1137130
76100;316144;1139805
76200;318537;1144767
76300;319732;1143296
76400;317839;1137049
76500;314080;1152620
76600;320586;1144709
76700;319393;1147231
76800;317889;1154725
76900;321861;1147589
77000;320236;1153436
77100;316974;1149745
77200;324150;1152967
77300;321772;1152421
77400;322483;1157003
77500;324335;1160571
77600;323501;1159845
77700;325317;1167527
77800;320783;1168903
77900;320380;1168406
78000;324728;1168690
78100;325364;1164247
78200;324382;1170532
78300;323366;1172654
78400;325107;1173077
78500;327427;1181710
78600;325765;1172273
78700;326508;1170992
78800;329810;1178035
78900;326229;1178791
79000;323398;1185216
79100;327194;1182584
79200;330102;1184213
79300;327654;1186775
