n;swaps;comparisons
56600;159891;681076
56700;160034;682595
56800;160241;684057
56900;160495;685065
57000;160773;686169
57100;161174;687639
57200;161467;688742
57300;161696;690123
57400;161990;691551
57500;162244;692610
57600;162561;694150
57700;162780;694857
57800;163127;696417
57900;163342;697201
58000;163624;698926
58100;163890;700306
58200;164179;701304
58300;164475;702605
58400;164822;703985
58500;165070;705371
58600;165335;706462
58700;165555;708046
58800;165807;709030
58900;166157;710350
59000;166522;711655
59100;166707;712790
59200;167025;714253
59300;167371;715478
59400;167598;716647
59500;167868;717720
59600;168075;718882
59700;168443;720718
59800;168632;721383
59900;168920;723122
60000;169155;724458
60100;169481;725660
60200;169739;726650
60300;170099;727985
60400;170319;729117
60500;170601;730754
60600;170901;731789
60700;171217;733242
60800;171525;734458
60900;171699;735785
61000;172017;736712
61100;172271;738135
61200;172586;739285
61300;172822;740871
61400;173026;742034
61500;173340;742886
61600;173530;744129
61700;173928;746018
61800;174210;747284
61900;174511;748261
62000;174847;749678
62100;175024;750901
62200;175298;752107
62300;175599;753504
62400;175890;754740
62500;176073;755812
62600;176382;757156
62700;176723;758502
62800;177086;760160
62900;177266;760872
63000;177517;762137
63100;177744;763268
63200;178075;764693
63300;178287;765888
63400;178601;767299
63500;178910;768008
63600;179212;770001
63700;179465;771024
63800;179689;772111
63900;180026;773365
64000;180275;774945
64100;180576;775990
64200;180871;777634
64300;181034;778358
64400;181413;779837
64500;181703;781115
64600;181878;782113
64700;182220;783264
64800;182414;784857
64900;182689;785822
65000;183082;787467
65100;183364;788723
65200;183625;789775
65300;184030;791143
65400;184177;792499
65500;184404;793451
65600;184728;794925
65700;184981;796347
65800;185301;797562
65900;185528;798652
66000;185825;799850
66100;186055;801221
66200;186341;802458
66300;186754;804052
66400;187001;805013
66500;187297;806260
66600;187456;807206
66700;187835;808651
66800;188036;809898
66900;188287;810950
67000;188613;812012
67100;188801;813548
67200;189135;814656
67300;189480;816090
67400;189760;817459
67500;190013;818445
67600;190217;820304
67700;190428;820773
67800;190877;822381
67900;191180;823666
68000;191301;824709
68100;191579;825680
68200;191870;827244
68300;192169;828367
68400;192435;829607
68500;192774;830771
68600;192994;832411
68700;193393;833462
68800;193490;834648
68900;193793;835648
69000;194009;837028
69100;194401;838456
69200;194603;839581
69300;195028;841193
69400;195195;841995
69500;195460;843043
69600;195784;844531
69700;195972;845841
69800;196339;847305
69900;196584;848677
70000;196866;849886
70100;197040;851195
70200;197423;852112
70300;197713;853122
70400;197874;854213
70500;198354;855831
70600;198448;856712
70700;198767;858434
70800;199070;859672
70900;199247;860784
71000;199710;862217
71100;199892;862989
71200;200087;864086
71300;200414;865327
71400;200786;866775
71500;201025;868309
71600;201272;869491
71700;201473;870775
71800;201787;871674
71900;202126;873122
72000;202338;874493
72100;202668;875421
72200;202953;877024
72300;203107;877780
72400;203397;878978
72500;203810;880391
72600;204017;881684
72700;204232;882666
72800;204675;884002
72900;204765;885151
73000;205145;886701
73100;205249;887690
73200;205581;888940
73300;206056;890540
73400;206012;890926
73500;206491;892797
73600;206706;893954
73700;206868;894686
73800;207282;896102
73900;207586;897636
74000;207935;898816
74100;208227;900253
74200;208460;901087
74300;208671;902309
74400;208876;903315
74500;209286;904989
74600;209629;906225
74700;209762;907649
74800;210149;908523
74900;210403;909882
75000;210591;910807
75100;210873;912273
75200;211069;913315
75300;211397;914423
75400;211733;915819
75500;211939;917356
75600;212176;918453
75700;212546;920032
75800;212691;920921
75900;213011;921780
76000;213345;923234
76100;213588;924253
76200;213711;925661
76300;214142;926816
76400;214444;928455
76500;214727;929594
76600;214929;930455
76700;215223;931732
76800;215494;933073
76900;215864;934570
77000;216145;935725
77100;216370;937271
77200;216562;937837
77300;216964;939448
77400;217176;940574
77500;217438;941700
77600;217768;942864
77700;218062;944220
77800;218403;945297
77900;218690;946772
78000;218690;947526
78100;219114;948856
78200;219386;950370
78300;219611;951533
78400;220059;953014
78500;220105;954067
78600;220584;955334
78700;220771;956472
78800;221029;957478
78900;221260;958977
79000;221522;960283
79100;221828;961257
79200;222087;962636
79300;222452;963718
79400;222577;964933
79500;222810;966020
79600;223098;967296
79700;223428;968607
79800;223733;969584
79900;224085;971277
80000;224323;972698
80100;224539;972971
80200;224966;975139
80300;225087;975702
80400;225320;977152
80500;225645;978254
80600;225865;979617
80700;226231;980825
80800;226550;982169
80900;226589;983254
81000;227133;984637
81100;227237;985437
81200;227658;986686
81300;227840;988148
81400;228098;989488
81500;228521;991078
81600;228758;991954
81700;228994;992644
81800;229333;994646
81900;229480;995229
82000;229579;996911
