n;OSSelect;Select;RandSelect
596;79.14;7744;1705
597;90.06;8389;1733
598;73.97;8352;1773
599;70.82;8619;1796
600;76.7;8623;1787
601;77.17;8673;1774
602;74.67;8829;1781
603;80.78;8625;1672
604;73.65;8704;1699
605;80.28;8726;1733
606;80.51;8305;1833
607;84.57;7572;1680
608;81.62;7581;1827
609;84.87;7570;1783
610;71.38;7530;1770
611;83.05;8017;1763
612;75.23;7638;1774
613;73.91;7970;1841
614;78.29;7809;1859
615;76.09;7965;1832
616;81.94;7731;1828
617;85.85;7814;1902
618;91.76;8265;1868
619;78.84;8110;1796
620;86.43;8077;1799
621;83.57;8116;1810
622;72.97;9613;1896
623;91.15;9414;1805
624;73.63;9369;1781
625;74.92;9658;1897
626;76.45;9458;1793
627;79.87;10730;1954
628;92.47;11335;1818
629;83.78;10132;1808
630;79.29;10117;1875
631;80.33;9773;1817
632;75.69;10694;1848
633;84.49;10382;1872
634;78.72;10419;1865
635;83.5;10588;1878
636;77.57;10493;1854
637;80.43;10239;1947
638;81.42;10798;1761
639;75.44;10178;2024
640;78.26;10352;1863
641;80.17;10269;1940
642;78.26;9044;1791
643;82.28;9572;1961
644;80.83;9620;1799
645;84.74;9883;1828
646;88.22;9772;1809
647;81.26;10655;2012
648;81.97;10630;1820
649;80.96;10304;1986
650;93.29;11307;1929
651;77.55;10874;1966
652;86.56;11329;1883
653;80.84;9901;1913
654;84.84;10815;1914
655;74.51;10407;1811
656;81.66;9233;1997
657;83.77;8203;1913
658;90.5;9025;1864
659;83.05;8328;1908
660;84.37;8507;1867
661;82.23;9243;1945
662;89.5;8679;1965
663;89.76;8319;1944
664;93.94;8424;1977
665;81.36;8821;1923
666;81.76;8704;1920
667;89.27;9180;1962
668;86.1;9130;1935
669;80.79;9877;1940
670;87.04;9318;1975
671;79.73;8517;1946
672;86.2;10366;1973
673;86.61;11707;2095
674;87.81;10701;1988
675;91.83;10511;2032
676;85.39;10428;1998
677;86.47;11833;1909
678;84.59;11711;2009
679;85.47;11534;1984
680;89.53;12113;2067
681;87.27;11007;1909
682;82.31;11213;2050
683;91.39;11089;2053
684;82.63;10840;1965
685;92.89;11348;2042
686;87.92;11130;2060
687;89.6;10235;2020
688;84.86;10729;1895
689;85.12;10702;2056
690;82.22;11143;2089
691;97.08;11070;2092
692;89.69;9920;2000
693;94.02;10181;2045
694;85.49;9973;2064
695;82.42;10297;2098
696;91.11;10522;2132
697;84.86;11043;2165
698;98.57;11309;2128
699;92.29;11643;2073
700;97.84;10922;1997
701;84.25;11503;2106
702;82.62;11551;2077
703;94.15;11839;2093
704;89.61;11257;2100
705;95.95;11693;2164
706;87.84;10354;1957
707;87.97;9998;2192
708;92.12;9017;2003
709;88.36;9029;2036
710;89.77;8973;2094
711;97.57;10405;2085
712;89.02;9941;2183
713;102.43;9129;2125
714;88.84;9100;2129
715;98.88;9207;2140
716;89.33;9243;2070
717;86.71;9820;2198
718;91.29;9988;1999
719;90.93;9925;2117
720;90.53;10891;2106
721;94.5;8817;2057
722;91.92;11185;2061
723;99.13;11003;2128
724;96.38;10325;2237
725;89.43;11148;2259
726;93.89;10526;2214
727;92.4;11273;2102
728;92.23;11597;2074
729;94.05;11121;2042
730;95.46;11706;2267
731;94.94;12758;2136
732;95.75;11674;2044
733;102.33;11642;2189
734;94.78;11451;2186
735;99.03;11793;2185
736;91.89;11904;2204
737;102.82;11577;2065
738;92.45;11835;2183
739;88.77;12506;2148
740;90.91;11737;2250
741;98.2;12422;2126
742;94.85;11019;2226
743;93.48;12245;2229
744;96.69;11140;2169
745;99.03;11165;2125
746;90.13;10878;2213
747;103.69;12308;2071
748;101.07;12686;2248
749;96.15;12622;2204
750;110.4;12688;2108
751;99.34;12787;2297
752;102.24;12887;2192
753;94.07;12324;2235
754;89.97;12006;2150
755;102.26;14496;2070
756;103.19;11287;2165
757;98.49;9768;2140
758;93.94;10435;2220
759;100.39;9756;2349
760;99.23;9902;2241
761;103.2;11493;2186
762;103.28;10294;2172
763;94.41;10083;2253
764;98.62;10024;2326
765;99.01;10054;2146
766;98.0;10049;2293
767;99.42;11550;2175
768;107.87;11056;2312
769;105.73;11512;2337
770;96.79;11444;2321
771;111.31;10471;2221
772;99.37;13168;2222
773;101.15;13469;2335
774;96.2;11998;2237
775;101.98;13526;2233
776;102.92;13450;2306
777;114.16;13450;2348
778;105.66;13845;2348
779;98.18;14001;2353
780;108.81;13788;2469
781;99.43;11819;2498
782;106.67;12077;2189
783;97.0;12277;2338
784;101.73;12647;2423
785;97.73;12464;2356
786;100.49;11692;2420
787;108.46;11626;2325
788;105.7;11435;2279
789;102.03;11373;2331
790;110.77;11711;2425
791;99.07;11439;2461
792;98.12;10736;2374
793;107.72;10913;2162
794;99.39;10516;2310
795;102.62;11326;2425
796;99.03;10852;2398
797;96.19;11984;2292
798;106.69;11478;2342
799;103.05;11727;2404
800;100.48;11465;2364
801;104.59;11788;2394
802;105.83;11762;2382
803;98.95;11812;2410
804;94.9;11932;2368
805;96.56;11973;2449
806;97.81;11759;2423
807;102.95;11126;2358
808;112.77;11510;2363
809;100.6;10642;2286
810;105.35;10326;2365
811;101.66;11905;2494
812;106.19;10563;2502
813;116.64;10790;2487
814;97.06;10496;2405
815;107.95;11161;2399
816;106.5;10820;2420
817;100.83;11568;2462
818;101.95;11881;2272
819;108.53;11466;2409
820;113.68;12096;2389
821;108.49;9850;2442
822;104.04;11427;2414
823;106.22;11063;2402
824;107.11;10309;2442
825;112.38;10613;2425
826;106.33;11991;2574
827;101.44;10609;2362
828;97.12;11614;2469
829;104.95;11104;2453
830;111.63;10934;2412
831;118.28;11656;2477
832;109.87;12461;2550
833;110.47;12278;2485
834;102.66;12163;2412
835;120.61;12360;2330
836;103.15;13670;2502
837;107.32;13818;2451
838;104.87;13937;2442
839;112.93;13733;2560
840;114.56;13614;2517
841;106.68;13291;2398
842;105.5;13499;2523
843;106.67;12858;2517
844;113.95;13557;2579
845;116.4;12762;2498
846;113.99;12353;2311
847;105.94;13608;2508
848;105.56;14097;2458
849;112.52;14205;2636
850;114.41;14087;2400
851;112.13;14443;2475
852;121.49;15182;2523
853;106.87;14524;2386
854;105.08;14341;2490
855;106.41;13159;2462
856;128.46;12830;2468
857;107.15;11246;2493
858;109.33;11070;2506
859;111.22;11326;2550
860;128.55;11946;2499
861;113.13;12575;2659
862;114.92;11365;2566
863;112.97;11652;2536
864;106.66;11761;2582
865;106.5;12294;2482
866;120.67;11382;2563
867;114.74;12118;2540
868;107.79;13442;2476
869;106.76;13110;2562
870;119.05;12289;2585
871;117.67;11204;2533
872;108.74;14093;2651
873;110.23;14604;2587
874;115.16;15059;2352
875;124.85;15782;2506
876;108.43;14746;2447
877;115.32;15793;2426
878;123.71;15747;2439
879;115.28;15620;2519
880;119.27;15192;2600
881;110.36;16425;2581
882;120.65;14923;2575
883;116.16;14926;2603
884;115.62;15396;2584
885;123.81;15621;2722
886;112.3;15055;2627
887;127.3;15761;2634
888;111.53;16130;2446
889;113.34;15448;2709
890;108.78;15936;2616
891;113.42;16366;2553
892;116.65;13838;2738
893;117.94;13451;2633
894;111.71;13915;2699
895;110.91;14416;2664
896;118.26;15177;2770
897;112.56;16540;2877
898;121.07;16483;2811
899;118.27;16816;2740
900;114.97;15417;2589
901;119.74;16493;2670
902;120.34;14784;2661
903;112.78;17791;2807
904;123.03;15335;2527
905;108.3;15139;2599
906;114.46;13047;2823
907;130.54;11960;2772
908;125.92;12094;2605
909;114.33;12147;2760
910;121.25;12220;2710
911;111.67;13925;2599
912;118.9;12520;2681
913;123.56;12287;2614
914;117.42;12289;2646
915;128.03;13464;2745
916;122.6;13363;2735
917;142.35;14036;2661
918;120.3;13301;2654
919;142.85;12987;2857
920;117.39;13191;2830
921;118.73;12750;2778
922;119.37;16888;2614
923;119.33;16039;2514
924;119.59;15844;2671
925;128.85;15107;2713
926;121.03;15270;2723
927;121.18;17175;2869
928;125.25;16895;2708
929;126.55;17456;2872
930;124.01;14913;2670
931;124.31;16388;2854
932;114.01;18635;2650
933;118.08;17747;2716
934;119.04;16496;2554
935;115.27;16776;2972
936;113.62;17063;2678
937;116.69;16030;2707
938;120.91;17011;2768
939;117.91;16986;2833
940;150.26;18171;2567
941;118.77;17371;2842
942;129.4;15808;2630
943;120.54;16202;2957
944;119.23;15331;2704
945;124.55;15740;2882
946;120.57;16160;2811
947;128.22;18496;2987
948;125.42;16590;2806
949;124.85;16871;2871
950;124.26;16134;2858
951;124.69;17257;2762
952;120.86;18740;2846
